frame,ID,X,Y,Class,Color,Position
138,41,458,302,Player,white,Attack
138,43,370,602,Player,blue,Defense
138,53,391,565,Player,white,Attack
138,66,484,616,Player,blue,Defense
138,72,553,583,Player,blue,Defense
138,84,415,614,Player,blue,Defense
138,99,515,678,Player,blue,Defense
138,103,415,452,Player,blue,Defense
138,104,377,196,Player,blue,Defense
138,106,553,274,Player,white,Attack
138,108,521,677,Player,blue,Defense
138,111,566,291,Player,blue,Defense
138,0,376,566,Ball,white,Ball
144,1,286,434,Player,white,Attack
144,3,323,617,Player,white,Attack
144,4,293,520,Player,white,Attack
144,5,311,373,Player,blue,Defense
144,6,434,423,Player,blue,Defense
144,8,282,191,Player,white,Attack
144,11,293,323,Player,white,Attack
144,12,549,603,Player,white,Attack
144,30,293,486,Player,blue,Defense
144,35,367,454,Player,white,Attack
144,41,460,281,Player,white,Attack
144,43,365,597,Player,blue,Defense
144,53,382,559,Player,white,Attack
144,66,487,617,Player,blue,Defense
144,72,556,586,Player,blue,Defense
144,84,412,618,Player,blue,Defense
144,103,407,449,Player,blue,Defense
144,104,380,169,Player,blue,Defense
144,106,554,246,Player,white,Attack
144,111,569,261,Player,blue,Defense
144,0,377,551,Ball,white,Ball
144,114,306,362,Player,white,Attack
150,1,327,459,Player,white,Attack
150,4,324,523,Player,white,Attack
150,5,369,422,Player,blue,Defense
150,6,465,419,Player,blue,Defense
150,8,353,289,Player,white,Attack
150,11,346,372,Player,white,Attack
150,12,594,639,Player,white,Attack
150,35,387,453,Player,white,Attack
150,41,498,356,Player,white,Attack
150,43,401,563,Player,blue,Defense
150,53,419,531,Player,white,Attack
150,66,526,606,Player,blue,Defense
150,72,570,579,Player,blue,Defense
150,84,429,622,Player,blue,Defense
150,103,424,506,Player,blue,Defense
150,104,448,290,Player,blue,Defense
150,106,558,283,Player,white,Attack
150,111,584,314,Player,blue,Defense
150,118,589,429,Player,blue,Defense
150,0,428,536,Ball,white,Ball
156,1,313,441,Player,white,Attack
156,5,362,406,Player,blue,Defense
156,6,466,387,Player,blue,Defense
156,8,325,214,Player,white,Attack
156,11,328,329,Player,white,Attack
156,12,592,639,Player,white,Attack
156,35,381,434,Player,white,Attack
156,41,505,326,Player,white,Attack
156,43,410,550,Player,blue,Defense
156,53,432,528,Player,white,Attack
156,66,534,604,Player,blue,Defense
156,72,572,570,Player,blue,Defense
156,84,438,620,Player,blue,Defense
156,103,431,499,Player,white,Attack
156,104,446,238,Player,blue,Defense
156,106,566,220,Player,white,Attack
156,111,596,271,Player,blue,Defense
156,118,594,411,Player,blue,Defense
156,0,439,532,Ball,white,Ball
156,122,432,529,Player,white,Attack
162,5,371,389,Player,blue,Defense
162,6,475,372,Player,blue,Defense
162,8,334,195,Player,white,Attack
162,11,334,311,Player,white,Attack
162,12,592,638,Player,white,Attack
162,35,383,419,Player,white,Attack
162,41,521,321,Player,white,Attack
162,43,424,530,Player,blue,Defense
162,66,540,585,Player,blue,Defense
162,72,575,547,Player,blue,Defense
162,84,443,616,Player,blue,Defense
162,104,466,237,Player,blue,Defense
162,106,570,213,Player,white,Attack
162,111,598,272,Player,blue,Defense
162,118,597,396,Player,blue,Defense
162,0,460,523,Ball,white,Ball
162,122,454,522,Player,white,Attack
168,5,382,413,Player,blue,Defense
168,6,481,377,Player,blue,Defense
168,8,341,221,Player,white,Attack
168,11,343,330,Player,white,Attack
168,12,592,646,Player,white,Attack
168,35,391,433,Player,white,Attack
168,41,535,338,Player,white,Attack
168,43,435,532,Player,blue,Defense
168,66,542,571,Player,blue,Defense
168,72,578,549,Player,blue,Defense
168,84,447,614,Player,blue,Defense
168,103,466,521,Player,white,Attack
168,104,479,263,Player,blue,Defense
168,106,578,220,Player,white,Attack
168,111,608,290,Player,blue,Defense
168,118,604,407,Player,blue,Defense
168,122,470,528,Player,white,Attack
168,0,479,530,Ball,white,Ball
174,5,383,419,Player,white,Attack
174,6,485,376,Player,blue,Defense
174,8,331,196,Player,white,Attack
174,11,336,318,Player,white,Attack
174,12,585,653,Player,white,Attack
174,35,388,430,Player,white,Attack
174,41,547,341,Player,white,Attack
174,43,443,528,Player,blue,Defense
174,66,537,556,Player,blue,Defense
174,72,578,543,Player,blue,Defense
174,84,451,616,Player,blue,Defense
174,103,479,523,Player,white,Attack
174,104,489,261,Player,blue,Defense
174,106,582,217,Player,white,Attack
174,111,612,299,Player,blue,Defense
174,118,607,412,Player,blue,Defense
174,122,484,530,Player,white,Attack
174,0,493,533,Ball,white,Ball
180,6,487,348,Player,blue,Defense
180,8,322,146,Player,white,Attack
180,12,583,652,Player,white,Attack
180,35,387,412,Player,white,Attack
180,41,557,320,Player,white,Attack
180,43,453,519,Player,blue,Defense
180,53,498,528,Player,white,Attack
180,66,531,543,Player,blue,Defense
180,72,575,534,Player,blue,Defense
180,84,456,613,Player,blue,Defense
180,103,493,515,Player,blue,Defense
180,104,498,242,Player,blue,Defense
180,106,584,176,Player,white,Attack
180,111,614,276,Player,blue,Defense
180,118,606,392,Player,blue,Defense
180,121,614,680,Player,blue,Defense
180,122,502,530,Player,white,Attack
180,0,509,538,Ball,white,Ball
186,6,495,355,Player,blue,Defense
186,12,586,664,Player,white,Attack
186,35,402,424,Player,white,Attack
186,41,575,326,Player,white,Attack
186,43,470,523,Player,blue,Defense
186,66,529,537,Player,blue,Defense
186,72,577,539,Player,blue,Defense
186,84,466,612,Player,blue,Defense
186,103,513,523,Player,white,Attack
186,104,514,256,Player,blue,Defense
186,106,594,157,Player,white,Attack
186,111,627,275,Player,blue,Defense
186,118,617,389,Player,blue,Defense
186,122,516,527,Player,white,Attack
186,131,516,560,Player,white,Attack
186,0,539,590,Ball,white,Ball
192,6,510,357,Player,blue,Defense
192,12,596,664,Player,white,Attack
192,41,598,347,Player,white,Attack
192,43,485,517,Player,blue,Defense
192,66,537,531,Player,white,Attack
192,72,584,534,Player,blue,Defense
192,84,471,605,Player,blue,Defense
192,103,537,524,Player,white,Attack
192,104,538,280,Player,blue,Defense
192,106,604,203,Player,white,Attack
192,111,634,309,Player,blue,Defense
192,118,627,400,Player,blue,Defense
192,122,536,503,Player,white,Attack
192,0,568,620,Ball,white,Ball
198,6,515,352,Player,blue,Defense
198,12,589,666,Player,white,Attack
198,41,611,349,Player,white,Attack
198,43,494,524,Player,blue,Defense
198,53,548,518,Player,white,Attack
198,66,540,529,Player,blue,Defense
198,72,580,548,Player,blue,Defense
198,84,478,613,Player,blue,Defense
198,103,547,535,Player,white,Attack
198,104,551,283,Player,blue,Defense
198,106,617,183,Player,white,Attack
198,111,640,308,Player,blue,Defense
198,118,630,408,Player,blue,Defense
198,122,547,499,Player,white,Attack
198,0,576,645,Ball,white,Ball
204,6,556,358,Player,blue,Defense
204,12,601,659,Player,white,Attack
204,41,673,412,Player,white,Attack
204,43,536,524,Player,blue,Defense
204,53,622,524,Player,white,Attack
204,72,615,590,Player,blue,Defense
204,84,509,608,Player,blue,Defense
204,103,602,507,Player,blue,Defense
204,104,617,300,Player,blue,Defense
204,106,670,208,Player,white,Attack
204,111,682,342,Player,blue,Defense
204,118,678,434,Player,blue,Defense
204,153,589,531,Player,blue,Defense
